0,0,5,.,f,r,e,e,-,c,o,u,n,t,e,r,.,c,o,.,u,k,0
0,0,6,.,f,r,e,e,-,a,d,u,l,t,-,c,o,u,n,t,e,r,s,.,x,-,x,t,r,a,.,c,o,m,0
0,0,6,.,f,r,e,e,-,c,o,u,n,t,e,r,.,c,o,.,u,k,0
0,0,7,.,f,r,e,e,-,c,o,u,n,t,e,r,.,c,o,.,u,k,0
0,0,7,.,g,o,2,c,l,o,u,d,.,o,r,g,0
0,0,7,5,-,7,1,1,2,-,e,7,e,b,-,f,9,b,9,.,r,e,p,o,r,o,.,n,e,t,0
0,0,8,.,f,r,e,e,-,c,o,u,n,t,e,r,.,c,o,.,u,k,0
0,0,z,a,s,d,f,.,p,w,0
0,1,1,i,5,.,v,o,l,u,u,m,t,r,k,.,c,o,m,0
0,1,2,4,4,9,8,4,7,4,f,7,c,1,3,a,c,9,a,2,-,6,b,1,9,1,4,4,6,0,0,2,b,3,1,3,4,2,1,8,9,d,5,6,c,a,b,c,f,5,2,2,7,.,r,1,1,.,c,f,2,.,r,a,c,k,c,d,n,.,c,o,m,0
0,2,g,z,x,.,v,o,l,u,u,m,t,r,k,.,c,o,m,0
0,4,2,7,d,7,.,s,e,1
0,4,f,d,-,7,4,b,3,-,b,2,f,6,-,c,6,4,5,.,r,e,p,o,r,o,.,n,e,t,0
0,5,0,0,0,3,.,v,o,o,d,o,o,.,c,o,m,0
0,5,0,0,0,5,.,v,o,o,d,o,o,.,c,o,m,0
0,5,n,i,7,.,v,o,l,u,u,m,t,r,k,.,c,o,m,0
0,6,0,2,v,.,v,o,l,u,u,m,t,r,k,.,c,o,m,0
0,6,0,8,1,0,1,3,1,0,2,4,.,c,.,m,y,s,t,a,t,-,i,n,.,n,e,t,0
0,6,c,5,-,d,b,b,d,-,e,b,7,9,-,4,c,d,4,.,r,e,p,o,r,o,.,n,e,t,0
0,6,r,p,h,.,v,o,l,u,u,m,t,r,k,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,0,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,0,0,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,0,1,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,0,2,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,0,3,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,0,4,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,0,5,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,0,6,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,0,7,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,0,8,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,0,9,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,1,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,1,0,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,1,0,0,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,1,0,1,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,1,0,3,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,1,0,4,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,1,0,5,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,1,0,6,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,1,0,7,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,1,0,8,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,1,0,9,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,1,1,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,1,1,0,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,1,1,1,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,1,1,3,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,1,1,4,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,1,1,5,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,1,1,6,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,1,1,7,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,1,1,8,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,1,1,9,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
0,8,.,1,8,5,.,8,7,.,1,3,.,l,i,v,e,a,d,v,e,r,t,.,c,o,m,0
