005,.,free,-,counter,.,co,.,uk,0
006,.,free,-,adult,-,counters,.,x,-,xtra,.,com,0
006,.,free,-,counter,.,co,.,uk,0
007,.,free,-,counter,.,co,.,uk,0
007,.,go2cloud,.,org,0
0075,-,7112,-,e7eb,-,f9b9,.,reporo,.,net,0
008,.,free,-,counter,.,co,.,uk,0
00zasdf,.,pw,0
011i5,.,voluumtrk,.,com,0
0124498474f7c13ac9a2,-,6b191446002b31342189d56cabcf5227,.,r11,.,cf2,.,rackcdn,.,com,0
02gzx,.,voluumtrk,.,com,0
0427d7,.,se,1
04fd,-,74b3,-,b2f6,-,c645,.,reporo,.,net,0
050003,.,voodoo,.,com,0
050005,.,voodoo,.,com,0
05ni7,.,voluumtrk,.,com,0
0602v,.,voluumtrk,.,com,0
060810131024,.,c,.,mystat,-,in,.,net,0
06c5,-,dbbd,-,eb79,-,4cd4,.,reporo,.,net,0
06rph,.,voluumtrk,.,com,0
08,.,185,.,87,.,0,.,liveadvert,.,com,0
08,.,185,.,87,.,00,.,liveadvert,.,com,0
08,.,185,.,87,.,01,.,liveadvert,.,com,0
08,.,185,.,87,.,02,.,liveadvert,.,com,0
08,.,185,.,87,.,03,.,liveadvert,.,com,0
08,.,185,.,87,.,04,.,liveadvert,.,com,0
08,.,185,.,87,.,05,.,liveadvert,.,com,0
08,.,185,.,87,.,06,.,liveadvert,.,com,0
08,.,185,.,87,.,07,.,liveadvert,.,com,0
08,.,185,.,87,.,08,.,liveadvert,.,com,0
08,.,185,.,87,.,09,.,liveadvert,.,com,0
08,.,185,.,87,.,1,.,liveadvert,.,com,0
08,.,185,.,87,.,10,.,liveadvert,.,com,0
08,.,185,.,87,.,100,.,liveadvert,.,com,0
08,.,185,.,87,.,101,.,liveadvert,.,com,0
08,.,185,.,87,.,103,.,liveadvert,.,com,0
08,.,185,.,87,.,104,.,liveadvert,.,com,0
08,.,185,.,87,.,105,.,liveadvert,.,com,0
08,.,185,.,87,.,106,.,liveadvert,.,com,0
08,.,185,.,87,.,107,.,liveadvert,.,com,0
08,.,185,.,87,.,108,.,liveadvert,.,com,0
08,.,185,.,87,.,109,.,liveadvert,.,com,0
08,.,185,.,87,.,11,.,liveadvert,.,com,0
08,.,185,.,87,.,110,.,liveadvert,.,com,0
